MC VERSION                  PROTOCOL
Java Edition 1.21.4         770
Java Edition 1.21.3         769
Java Edition 1.21.2         768
Java Edition 1.21.1         767
Java Edition 1.21           766
Java Edition 1.20.4         765
Java Edition 1.20.3         765
Java Edition 1.20.2         764
Java Edition 1.20.1         763
Java Edition 1.20           763
Java Edition 1.19.4         762
Java Edition 1.19.3         761
Java Edition 1.19.2         760
Java Edition 1.19.1         760
Java Edition 1.19           759
Java Edition 1.18.2         758
Java Edition 1.18.1         757
Java Edition 1.18           757
Java Edition 1.17.1         756
Java Edition 1.17           755
Java Edition 1.16.5         754
Java Edition 1.16.4         754
Java Edition 1.16.3         753
Java Edition 1.16.2         751
Java Edition 1.16.1         736
Java Edition 1.16           735
Java Edition 1.15.2         578
Java Edition 1.15.1         575
Java Edition 1.15           573
Java Edition 1.14.4         498
Java Edition 1.14.3         490
Java Edition 1.14.2         485
Java Edition 1.14.1         480
Java Edition 1.14           477
Java Edition 1.13.2         404
Java Edition 1.13.1         401
Java Edition 1.13           393
Java Edition 1.12.2         340
